sal_code_2021,name,state,population,suburb_area_sq_km,Median_rent_weekly_x,Median_rent_weekly_y,median_rent_weekly
SAL10258,Belford,NSW,176.0,56.32,530.0,530.0,530.0
SAL10259,Belfrayden,NSW,12.0,6.06,180.0,180.0,180.0
SAL10260,Belgravia,NSW,124.0,137.15,129.0,129.0,129.0
SAL10261,Belimbla Park,NSW,576.0,5.35,480.0,480.0,480.0
SAL10262,Bell (Nsw),NSW,44.0,58.4,0.0,0.0,0.0
SAL10263,Bella Vista,NSW,8384.0,6.36,740.0,740.0,740.0
SAL10264,Bellambi,NSW,4039.0,3.44,252.0,252.0,252.0
SAL10265,Bellangry,NSW,114.0,114.82,250.0,250.0,250.0
SAL10266,Bellata,NSW,266.0,1365.02,180.0,180.0,180.0
SAL10267,Bellawongarah,NSW,116.0,26.61,400.0,400.0,400.0
SAL10268,Bellbird,NSW,2338.0,10.88,323.0,323.0,323.0
SAL10269,Bellbird Heights,NSW,805.0,0.57,368.0,368.0,368.0
SAL10270,Bellbrook,NSW,339.0,538.15,200.0,200.0,200.0
SAL10271,Bellevue Hill,NSW,10590.0,3.45,650.0,650.0,650.0
SAL10272,Bellimbopinni,NSW,82.0,21.39,350.0,350.0,350.0
SAL10273,Bellingen,NSW,3923.0,60.26,390.0,390.0,390.0
SAL10274,Bellmount Forest,NSW,120.0,171.51,420.0,420.0,420.0
SAL10275,Belltrees,NSW,37.0,236.98,325.0,325.0,325.0
SAL10276,Belmont (Nsw),NSW,7289.0,15.05,340.0,340.0,340.0
SAL10277,Belmont North,NSW,6291.0,5.18,380.0,380.0,380.0
SAL10278,Belmont South,NSW,1053.0,3.63,273.0,273.0,273.0
SAL10279,Belmore,NSW,13781.0,3.98,380.0,380.0,380.0
SAL10280,Belmore River,NSW,268.0,96.17,230.0,230.0,230.0
SAL10281,Beloka,NSW,20.0,104.03,0.0,0.0,0.0
SAL10282,Belowra,NSW,5.0,580.7,0.0,0.0,0.0
SAL10283,Belrose,NSW,8726.0,19.61,890.0,890.0,890.0
SAL10284,Bemboka,NSW,589.0,519.87,245.0,245.0,245.0
SAL10285,Ben Bullen,NSW,71.0,122.01,160.0,160.0,160.0
SAL10286,Ben Lomond (Nsw),NSW,135.0,371.94,125.0,125.0,125.0
SAL10287,Benandarah,NSW,165.0,195.45,230.0,230.0,230.0
SAL10288,Bendalong,NSW,135.0,21.42,310.0,310.0,310.0
SAL10289,Bendemeer,NSW,486.0,736.27,300.0,300.0,300.0
SAL10290,Bendick Murrell,NSW,143.0,149.23,200.0,200.0,200.0
SAL10291,Bendolba,NSW,253.0,33.38,325.0,325.0,325.0
SAL10292,Bendoura,NSW,108.0,70.94,270.0,270.0,270.0
SAL10293,Benerembah,NSW,140.0,568.46,155.0,155.0,155.0
SAL10294,Bengalla,NSW,16.0,28.88,140.0,140.0,140.0
SAL10295,Bennetts Green,NSW,0.0,0.92,0.0,0.0,0.0
SAL10296,Benolong,NSW,76.0,266.75,240.0,240.0,240.0
SAL10297,Bensville,NSW,2500.0,7.1,463.0,463.0,463.0
SAL10298,Bentley (Nsw),NSW,225.0,74.35,250.0,250.0,250.0
SAL10299,Berala,NSW,8757.0,3.09,380.0,380.0,380.0
SAL10300,Berambing,NSW,104.0,5.92,200.0,200.0,200.0
SAL10301,Beresfield,NSW,3267.0,8.93,350.0,350.0,350.0
SAL10302,Bergalia,NSW,180.0,37.53,600.0,600.0,600.0
SAL10303,Berkeley,NSW,7798.0,10.8,290.0,290.0,290.0
SAL10304,Berkeley Vale,NSW,8951.0,8.82,420.0,420.0,420.0
SAL10305,Berkshire Park,NSW,2149.0,27.89,450.0,450.0,450.0
SAL10306,Berlang,NSW,0.0,140.53,0.0,0.0,0.0
SAL10307,Bermagui,NSW,1865.0,68.5,310.0,310.0,310.0
SAL10308,Berowra,NSW,4762.0,12.0,580.0,580.0,580.0
SAL10309,Berowra Heights,NSW,5286.0,11.57,580.0,580.0,580.0
SAL10310,Berowra Waters,NSW,169.0,2.43,575.0,575.0,575.0
SAL10311,Berrambool,NSW,486.0,1.0,320.0,320.0,320.0
SAL10312,Berrara,NSW,333.0,1.09,335.0,335.0,335.0
SAL10313,Berremangra,NSW,87.0,411.83,0.0,0.0,0.0
SAL10314,Berrico,NSW,33.0,115.8,0.0,0.0,0.0
